Reference, Value, Footprint, Datasheet
U1,STM32F103RC,mylib:LQFP-64,
P3,VBAT,mylib:Power_2x04,
P1,BAT,Pin_Headers:Pin_Header_Straight_2x01,
P4,5V,mylib:Power_2x04,
JP2,BAT_SELECT,mylib:Jumper_S,
SP1,BUZZER,mylib:SPB04,
Q2,Q_NMOS_GSD,TO_SOT_Packages_SMD:SOT-23,
C12,0.1u,Capacitors_SMD:C_0603,
R12,10k,Resistors_SMD:R_0603,
R11,10k,Resistors_SMD:R_0603,
R18,470,Resistors_SMD:R_0603,
D9,LED,LEDs:LED_0603,
R17,470,Resistors_SMD:R_0603,
D8,LED,LEDs:LED_0603,
R4,1k,Resistors_SMD:R_0603,
C1,22u,Capacitors_SMD:C_0603,
R3,20k,Resistors_SMD:R_0603,
R15,470,Resistors_SMD:R_0603,
D7,LED,LEDs:LED_0603,
R16,10k,Resistors_SMD:R_0603,
C10,1u,Capacitors_SMD:C_0603,
C11,0.1u,Capacitors_SMD:C_0603,
C6,0.1u,Capacitors_SMD:C_0603,
C9,0.1u,Capacitors_SMD:C_0603,
C7,0.1u,Capacitors_SMD:C_0603,
C8,0.1u,Capacitors_SMD:C_0603,
P5,3V3,mylib:Power_2x04,
C2,10u,Capacitors_SMD:C_0603,
C5,0.1u,Capacitors_SMD:C_0603,
R19,470,Resistors_SMD:R_0603,
D10,LED,LEDs:LED_0603,
D5,LED,LEDs:LED_0603,
R13,470,Resistors_SMD:R_0603,
D6,LED,LEDs:LED_0603,
R14,470,Resistors_SMD:R_0603,
R7,100k,Resistors_SMD:R_0603,
R8,10k,Resistors_SMD:R_0603,
R6,10,Resistors_SMD:R_0603,
R5,330,Resistors_SMD:R_0603,
R10,10k,Resistors_SMD:R_0603,
W1,TEST_1P,Wire_Pads:SolderWirePad_single_0-8mmDrill,
R9,1k,Resistors_SMD:R_0603,
Q1,DMG3415U,TO_SOT_Packages_SMD:SOT-23,
R2,100k,Resistors_SMD:R_0603,
R1,33k,Resistors_SMD:R_0603,
D2,RB520S,Diodes_SMD:SOD-523,
P7,UART,mylib:UART_CONN,
P8,EXPANSION_CONN,mylib:EX_CONN,
P2,SUB_BAT,Connectors_Molex:Molex_PicoBlade_53047-0210,
D4,LED,LEDs:LED_0603,
U2,OKL-T,mylib:OKL_T6,
D3,RB520S,Diodes_SMD:SOD-523,
X1,8MHz,Crystals:Crystal_HC49-U_Vertical,
C14,22p,Capacitors_SMD:C_0603,
C13,22p,Capacitors_SMD:C_0603,
P10,AIO,mylib:AIO,
P9,DIO,mylib:DIO,
SW4,RESET,mylib:tactile_switch,
SW2,ButtonA,mylib:tactile_switch,
SW3,ButtonB,mylib:tactile_switch,
JP1,Vin_select,mylib:Jumper,
JP3,BOOT,mylib:Jumper_3P,
U3,Regul_3.3V,TO_SOT_Packages_SMD:TO-252-2Lead,
C3,0.1u,Capacitors_SMD:C_0603,
C4,10u,Capacitors_SMD:C_0603,
SW1,POWER,mylib:MS-611K,
D1,RB520S,Diodes_SMD:SOD-523,
P6,SWD,mylib:SWD_CONN,
